epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1148.82,1.15826,0.81224,1.07134,0.64986,0.60769,0.56944,0.36562,1.44972,1.31255,1.22712,0.000911,0.000911,0.000911
57,1166.2,1.10877,0.77244,1.03375,0.71169,0.60763,0.58246,0.35342,1.51605,1.31382,1.25487,0.0008912,0.0008912,0.0008912
58,1188.07,0.97357,0.72545,0.99536,0.76135,0.55385,0.59616,0.36785,1.49882,1.38933,1.26585,0.0008714,0.0008714,0.0008714
59,1211.91,1.12521,0.86008,1.09438,0.66492,0.53846,0.55964,0.33403,1.5969,1.5303,1.30909,0.0008516,0.0008516,0.0008516
60,1231.79,1.10783,0.79594,1.0667,0.66263,0.56923,0.54349,0.32372,1.73406,1.55295,1.38131,0.0008318,0.0008318,0.0008318
61,1252.83,1.07452,0.75766,1.03313,0.64801,0.59231,0.56838,0.34061,1.66521,1.47933,1.33977,0.000812,0.000812,0.000812
62,1274.73,1.13366,0.8368,1.06388,0.6704,0.55385,0.57822,0.35308,1.59832,1.40997,1.27658,0.0007922,0.0007922,0.0007922
63,1294.18,1.10191,0.77251,1.06314,0.69023,0.58276,0.5766,0.36175,1.57544,1.38451,1.30169,0.0007724,0.0007724,0.0007724
64,1304.29,1.00006,0.71905,1.01131,0.73904,0.53077,0.58744,0.3839,1.43276,1.3245,1.23064,0.0007526,0.0007526,0.0007526
65,1324.35,1.02696,0.7256,0.99956,0.68876,0.57692,0.56871,0.36246,1.47188,1.39211,1.24975,0.0007328,0.0007328,0.0007328
66,1344.67,1.01634,0.71968,1.01871,0.7228,0.54615,0.59833,0.35972,1.54114,1.40663,1.28444,0.000713,0.000713,0.000713
67,1362.7,0.98532,0.74394,1.02668,0.70122,0.54615,0.57141,0.36081,1.51056,1.42665,1.26611,0.0006932,0.0006932,0.0006932
68,1382.43,0.98262,0.74971,1.01806,0.6976,0.56785,0.57094,0.35694,1.46971,1.49944,1.25987,0.0006734,0.0006734,0.0006734
69,1404.36,0.91802,0.66895,0.99083,0.68618,0.56923,0.58614,0.38221,1.41453,1.40615,1.25499,0.0006536,0.0006536,0.0006536
